category_id,name,price,description,image
2,Apple MacBook,1500,Laptop for professionals,https://via.placeholder.com/150?text=MacBook
2,Dell XPS,1200,High performance laptop,https://via.placeholder.com/150?text=Dell+XPS
2,Samsung Galaxy Tab,600,Tablet device,https://via.placeholder.com/150?text=Galaxy+Tab
2,Sony PlayStation 5,500,Game console,https://via.placeholder.com/150?text=PS5
2,Nintendo Switch,400,Portable game console,https://via.placeholder.com/150?text=Switch
3,Ray-Ban Glasses,125,Stylish eyewear,https://via.placeholder.com/150?text=Ray-Ban+Glasses
3,Fossil Watch,175,Leather strap watch,https://via.placeholder.com/150?text=Fossil+Watch2
3,Coach Wallet,180,Designer wallet,https://via.placeholder.com/150?text=Coach+Wallet2
3,Adidas Bag,65,Sports backpack,https://via.placeholder.com/150?text=Adidas+Bag
3,Nike Socks,14,Cotton socks,https://via.placeholder.com/150?text=Nike+Socks2
4,KitchenAid Mixer,400,Stand mixer for baking,https://via.placeholder.com/150?text=KitchenAid+Mixer2
4,Philips Blender,85,High-speed blender,https://via.placeholder.com/150?text=Philips+Blender
4,Dyson Hair Dryer,300,Powerful hair dryer,https://via.placeholder.com/150?text=Dyson+Hair+Dryer
4,Instant Pot Duo,140,Multi-function pressure cooker,https://via.placeholder.com/150?text=Instant+Pot+Duo2
4,Breville Coffee Maker,120,Automatic coffee machine,https://via.placeholder.com/150?text=Breville+Coffee+Maker
5,Treadmill Pro,650,Home fitness treadmill,https://via.placeholder.com/150?text=Treadmill+Pro
5,Exercise Bike,450,Stationary bike for home,https://via.placeholder.com/150?text=Exercise+Bike2
5,Dumbbell Set,110,Adjustable dumbbells,https://via.placeholder.com/150?text=Dumbbells+Set
5,Yoga Mat,38,Non-slip exercise mat,https://via.placeholder.com/150?text=Yoga+Mat2
5,Jump Rope,16,Speed skipping rope,https://via.placeholder.com/150?text=Jump+Rope2
